"Code","Date","Start","High","Low","End","Transaction"
000020.KS,20000824,7679.99,7780.00,7500.00,7600.01,182300
000020.KS,20000825,7610.00,7749.98,7600.01,7610.00,138000
000020.KS,20000828,7610.00,7660.01,7500.00,7629.98,342400
000020.KS,20000829,7689.98,7689.98,7500.00,7600.01,272900
000020.KS,20000830,7600.01,7640.03,7320.00,7600.01,292500
000020.KS,20000831,7509.99,7600.01,7360.02,7360.02,254400
000020.KS,20000901,7360.02,7849.99,7360.02,7600.01,369200
000020.KS,20000904,7600.01,8189.99,7500.00,8010.00,708100
000020.KS,20000905,8300.00,8300.00,7720.00,7720.00,542800
000020.KS,20000906,7720.00,7990.02,7720.00,7849.99,345000
000020.KS,20000907,7849.99,8500.02,7629.98,7959.99,1306000
000020.KS,20000908,8000.01,8170.01,7629.98,7799.98,415600
000020.KS,20000911,7799.98,7799.98,7799.98,7799.98,000
000020.KS,20000912,7799.98,7799.98,7799.98,7799.98,000
000020.KS,20000913,7799.98,7799.98,7799.98,7799.98,000
000020.KS,20000914,7640.03,8000.01,7550.00,7600.01,450600
000020.KS,20000915,7500.00,8319.98,7500.00,7730.00,814200
000020.KS,20000918,7550.00,7700.02,6589.99,6779.98,490200
000020.KS,20000919,6989.99,7789.99,6649.99,7789.99,1151500
000020.KS,20000920,7979.98,8360.00,7849.99,7959.99,1839500
000020.KS,20000921,8000.01,8100.02,7409.97,7770.01,753900
000020.KS,20000922,8000.01,8270.02,7399.98,7399.98,1331200
000020.KS,20000925,7600.01,7700.02,7440.00,7550.00,466500
000020.KS,20000926,7559.99,8149.98,7559.99,7700.02,1026900
000020.KS,20000927,7890.01,7900.00,7629.98,7900.00,604000
000020.KS,20000928,7990.02,8180.00,7720.00,7820.02,445900
000020.KS,20000929,8000.01,8599.99,7820.02,8300.00,2198500
000020.KS,20001002,8360.00,8850.02,8249.99,8680.02,2369000
000020.KS,20001003,8680.02,8680.02,8680.02,8680.02,000
000020.KS,20001004,8779.98,9150.00,8419.99,8470.00,1933300
000020.KS,20001005,8470.00,8670.03,8350.00,8620.02,1024300
000020.KS,20001006,8779.98,9070.03,8429.98,8500.02,1210700
000020.KS,20001009,8019.99,8390.02,8000.01,8000.01,750800
000020.KS,20001010,8149.98,8999.99,8010.00,8810.00,1988400
000020.KS,20001011,8810.00,9250.02,8209.98,8589.99,1667000
000020.KS,20001012,8640.00,9380.00,8510.01,9100.00,3967000
000020.KS,20001013,8999.99,8999.99,8539.99,8800.01,1412600
000020.KS,20001016,8800.01,8800.01,8800.01,8800.01,000
000020.KS,20001017,9560.00,9849.99,8900.02,8900.02,2222700
000020.KS,20001018,9140.01,9150.00,8500.02,8599.99,1114400
000020.KS,20001019,8599.99,8900.02,8520.01,8589.99,1181400
000020.KS,20001020,8800.01,8889.98,8609.98,8810.00,821900
000020.KS,20001023,8920.01,9279.99,8690.01,8769.99,1542400
000020.KS,20001024,8989.99,9799.99,8819.99,9399.99,3148100
000020.KS,20001025,9540.01,9600.01,9030.01,9130.02,1400800
000020.KS,20001026,9200.01,9500.00,8560.02,8709.99,1261200
000020.KS,20001027,8709.99,8709.99,8709.99,8709.99,000
000020.KS,20001030,8120.00,8300.00,7509.99,7519.98,954200
000020.KS,20001031,7370.01,7789.99,6529.99,7509.99,750800
000020.KS,20001101,7559.99,8180.00,7500.00,7760.02,1104100
000020.KS,20001102,7700.02,8500.02,7700.02,8000.01,1492900
000020.KS,20001103,8300.00,8300.00,7830.01,7950.00,817800
000020.KS,20001106,7979.98,8149.98,7900.00,8000.01,511300
000020.KS,20001107,8100.02,8390.02,8060.01,8170.01,1288000
000020.KS,20001108,8120.00,8139.99,7760.02,7849.99,546900
000020.KS,20001109,7969.99,8029.98,7720.00,7799.98,551500
000020.KS,20001110,7830.01,7950.00,7799.98,7870.02,526800
000020.KS,20001113,8000.01,8000.01,7720.00,7730.00,405300
000020.KS,20001114,7679.99,7919.98,7619.99,7849.99,332100
000020.KS,20001115,7940.01,8000.01,7830.01,7830.01,355800
000020.KS,20001116,7760.02,7900.00,7730.00,7749.98,232200
000020.KS,20001117,7849.99,7880.02,7749.98,7830.01,309000
000020.KS,20001120,7760.02,7909.99,7600.01,7700.02,279100
000020.KS,20001121,7519.98,8079.99,7519.98,7760.02,750800
000020.KS,20001122,7900.00,8839.98,7809.98,8249.99,2760400
000020.KS,20001123,8029.98,8149.98,7650.02,7650.02,671500
000020.KS,20001124,7650.02,7840.00,7600.01,7799.98,361500
000020.KS,20001127,7820.02,8089.98,7820.02,7849.99,392400
000020.KS,20001128,8000.01,8180.00,7749.98,7799.98,576800
000020.KS,20001129,7650.02,7700.02,7430.01,7430.01,492300
000020.KS,20001130,7700.02,7700.02,7119.98,7420.02,310000
000020.KS,20001201,7250.02,7300.02,6999.98,7279.99,192600
000020.KS,20001204,7300.02,7389.99,7109.99,7109.99,189500
000020.KS,20001205,7200.01,7260.01,7030.01,7150.00,309000
000020.KS,20001206,7339.99,7380.00,7150.00,7150.00,292000
000020.KS,20001207,7150.00,7190.02,7030.01,7140.01,139500
000020.KS,20001208,7140.01,7540.01,7140.01,7399.98,509300
000020.KS,20001211,7500.00,7650.02,7420.02,7540.01,419200
000020.KS,20001212,7440.00,7870.02,7370.01,7660.01,515500
000020.KS,20001213,7760.02,8189.99,7500.00,7900.00,1312700
000020.KS,20001214,8000.01,8390.02,7900.00,7930.02,1010900
000020.KS,20001215,7950.00,7979.98,7600.01,7600.01,494900
000020.KS,20001218,7500.00,8100.02,7420.02,8000.01,884700
000020.KS,20001219,8000.01,8570.01,7610.00,7770.01,1664400
000020.KS,20001220,7950.00,7950.00,7260.01,7260.01,570100
000020.KS,20001221,6999.98,7210.00,6819.99,7020.02,375900
000020.KS,20001222,6999.98,7169.98,6300.00,6500.02,428900
000020.KS,20001226,6309.99,6630.01,6309.99,6359.99,316700
000020.KS,20010102,6800.01,6989.99,6529.99,6920.00,362000
000020.KS,20010103,6800.01,7150.00,6790.02,6929.99,476800
000020.KS,20010104,7250.02,7270.00,7020.02,7119.98,510300
000020.KS,20010105,7049.99,7100.00,6939.99,7010.03,434600
000020.KS,20010108,7210.00,7500.00,7049.99,7279.99,710100
000020.KS,20010109,7330.00,7449.99,7140.01,7279.99,522200
000020.KS,20010110,7380.00,7540.01,6999.98,7010.03,785300
000020.KS,20010111,7090.00,7130.02,6989.99,7049.99,359400
000020.KS,20010112,7200.01,7289.98,7130.02,7200.01,538600
000020.KS,20010115,7250.02,7500.00,7200.01,7289.98,780200
000020.KS,20010116,7320.00,7449.99,7100.00,7270.00,645200
000020.KS,20010117,7349.98,8290.01,7349.98,7770.01,3494200
000020.KS,20010118,7770.01,7770.01,7380.00,7380.00,868200
000020.KS,20010119,7679.99,7969.99,7409.97,7579.98,1214800
000020.KS,20010122,7650.02,7739.99,7530.02,7700.02,488700
000020.KS,20010126,8170.01,8170.01,7629.98,7640.03,618500
000020.KS,20010129,7700.02,7749.98,7509.99,7600.01,327500
000020.KS,20010130,7650.02,8740.01,7550.00,8740.01,3778000
000020.KS,20010131,8900.02,9239.98,8149.98,8249.99,4217300
000020.KS,20010201,8360.00,8999.99,8249.99,8400.01,2092400
000020.KS,20010202,8350.00,8599.99,8110.01,8199.98,788400
000020.KS,20010205,8029.98,8390.02,7799.98,7799.98,914100
000020.KS,20010206,7900.00,8170.01,7830.01,7919.98,678700
000020.KS,20010207,8019.99,8060.01,7799.98,7799.98,366100
000020.KS,20010208,7760.02,8149.98,7760.02,8050.02,613300
000020.KS,20010209,8149.98,8350.00,8019.99,8290.01,901200
000020.KS,20010212,8599.99,9100.00,8350.00,8589.99,1561900
000020.KS,20010213,8889.98,8889.98,8300.00,8500.02,783800
000020.KS,20010214,8400.01,8500.02,8300.00,8379.98,422300
000020.KS,20010215,8309.99,8530.00,8249.99,8300.00,479400
000020.KS,20010216,8209.98,8400.01,8070.00,8180.00,585000
000020.KS,20010219,8300.00,9250.02,8120.00,8850.02,3374700
000020.KS,20010220,8989.99,9349.98,8649.99,8829.98,2049100
000020.KS,20010221,9200.01,9200.01,8549.98,8599.99,968200
000020.KS,20010222,8599.99,8860.01,8350.00,8640.00,791000
000020.KS,20010223,8500.02,9070.03,8500.02,8719.98,863100
000020.KS,20010226,8810.00,8900.02,8630.01,8800.01,624100
000020.KS,20010227,8850.02,9090.01,8609.98,8609.98,996000
000020.KS,20010228,8500.02,8599.99,8450.02,8549.98,278600
000020.KS,20010302,8649.99,8730.02,8079.99,8170.01,439200
000020.KS,20010305,8479.99,8719.98,8330.02,8390.02,1119000
000020.KS,20010306,8460.01,8649.99,8209.98,8630.01,845600
000020.KS,20010307,8649.99,8649.99,8419.99,8419.99,409900
000020.KS,20010308,8500.02,8549.98,8319.98,8360.00,365100
000020.KS,20010309,8450.02,8500.02,8280.02,8280.02,391400
000020.KS,20010312,8300.00,8300.00,7950.00,7979.98,547400
